record,window,rhythm,beat,rr
04015,2,Normal,22,0.856
04015,2,Normal,23,0.8
04015,2,Normal,24,0.824
04015,2,Normal,25,0.82
04015,2,Normal,26,0.82
04015,2,Normal,27,0.556
04015,2,Normal,28,0.516
04015,2,Normal,29,0.524
04015,3,Normal,0,1.168
04015,3,Normal,1,0.504
04015,3,Normal,2,0.756
04015,3,Normal,3,0.516
04015,3,Normal,4,0.608
04015,3,Normal,5,0.492
04015,3,Normal,6,0.812
04015,3,Normal,7,0.532
04015,3,Normal,8,0.788
04015,3,Normal,9,1.252
04015,3,Normal,10,0.524
04015,3,Normal,11,0.664
04015,3,Normal,12,0.5
04015,3,Normal,13,0.768
04015,3,Normal,14,0.532
04015,3,Normal,15,0.792
04015,3,Normal,16,0.536
04015,3,Normal,17,0.6
04015,3,Normal,18,0.92
04015,3,Normal,19,0.824
04015,3,Normal,20,0.816
04015,3,Normal,21,0.816
04015,3,Normal,22,0.8
04015,3,Normal,23,0.808
04015,3,Normal,24,0.768
04015,3,Normal,25,0.792
04015,3,Normal,26,0.796
04015,3,Normal,27,0.8
04015,3,Normal,28,0.528
04015,3,Normal,29,0.72
04015,4,Normal,0,0.56
04015,4,Normal,1,1.184
04015,4,Normal,2,0.944
04015,4,Normal,3,0.536
04015,4,Normal,4,0.556
04015,4,Normal,5,1.212
04015,4,Normal,6,0.956
04015,4,Normal,7,0.536
04015,4,Normal,8,0.576
04015,4,Normal,9,1.0
04015,4,Normal,10,0.524
04015,4,Normal,11,0.648
04015,4,Normal,12,0.512
04015,4,Normal,13,0.676
04015,4,Normal,14,0.508
04015,4,Normal,15,0.612
04015,4,Normal,16,0.912
04015,4,Normal,17,0.86
04015,4,Normal,18,0.528
04015,4,Normal,19,0.568
04015,4,Normal,20,0.496
04015,4,Normal,21,0.416
04015,4,Normal,22,0.908
04015,4,Normal,23,0.808
04015,4,Normal,24,0.476
04015,4,Normal,25,0.448
04015,4,Normal,26,0.404
04015,4,Normal,27,0.392
04015,4,Normal,28,0.428
04015,4,Normal,29,0.396
04015,5,Normal,0,0.476
04015,5,Normal,1,0.972
04015,5,Normal,2,0.484
04015,5,Normal,3,0.496
04015,5,Normal,4,0.448
04015,5,Normal,5,0.572
04015,5,Normal,6,0.484
04015,5,Normal,7,0.524
04015,5,Normal,8,0.472
04015,5,Normal,9,0.376
04015,5,Normal,10,0.408
04015,5,Normal,11,0.388
04015,5,Normal,12,0.576
04015,5,Normal,13,0.48
04015,5,Normal,14,0.348
04015,5,Normal,15,0.788
04015,5,Normal,16,0.508
04015,5,Normal,17,1.152
04015,5,Normal,18,0.544
04015,5,Normal,19,0.576
04015,5,Normal,20,0.468
04015,5,Normal,21,0.716
04015,5,Normal,22,0.956
04015,5,Normal,23,0.532
04015,5,Normal,24,0.656
04015,5,Normal,25,0.932
04015,5,Normal,26,0.536
04015,5,Normal,27,0.616
04015,5,Normal,28,0.5
04015,5,Normal,29,0.76
04015,6,Normal,0,0.556
04015,6,Normal,1,0.632
04015,6,Normal,2,0.904
04015,6,Normal,3,0.58
04015,6,Normal,4,0.576
04015,6,Normal,5,0.956
04015,6,Normal,6,0.592
04015,6,Normal,7,0.596
04015,6,Normal,8,0.936
04015,6,Normal,9,0.848
04015,6,Normal,10,0.868
04015,6,Normal,11,0.808
04015,6,Normal,12,0.828
04015,6,Normal,13,0.824
04015,6,Normal,14,0.548
04015,6,Normal,15,0.54
04015,6,Normal,16,0.524
04015,6,Normal,17,0.376
04015,6,Normal,18,0.5
04015,6,Normal,19,0.468
04015,6,Normal,20,0.88
04015,6,Normal,21,0.896
04015,6,Normal,22,0.536
04015,6,Normal,23,0.584
04015,6,Normal,24,0.996
04015,6,Normal,25,0.556
04015,6,Normal,26,0.612
04015,6,Normal,27,0.936
04015,6,Normal,28,0.868
04015,6,Normal,29,0.884
04015,7,Normal,0,0.86
04015,7,Normal,1,0.82
04015,7,Normal,2,0.836
04015,7,Normal,3,0.564
04015,7,Normal,4,0.556
04015,7,Normal,5,0.492
04015,7,Normal,6,0.376
04015,7,Normal,7,0.48
04015,7,Normal,8,0.416
04015,7,Normal,9,0.38
04015,7,Normal,10,0.46
04015,7,Normal,11,0.388
04015,7,Normal,12,0.664
04015,7,Normal,13,0.492
04015,7,Normal,14,0.296
04015,7,Normal,15,0.492
04015,7,Normal,16,0.436
04015,7,Normal,17,0.332
04015,7,Normal,18,0.352
04015,7,Normal,19,0.488
04015,7,Normal,20,0.596
04015,7,Normal,21,0.4
04015,7,Normal,22,0.564
04015,7,Normal,23,0.988
04015,7,Normal,24,0.884
04015,7,Normal,25,0.852
04015,7,Normal,26,0.528
04015,7,Normal,27,1.148
04015,7,Normal,28,0.584
04015,7,Normal,29,1.116
04015,8,Normal,0,0.492
04015,8,Normal,1,0.76
04015,8,Normal,2,0.52
04015,8,Normal,3,0.652
04015,8,Normal,4,0.504
04015,8,Normal,5,0.772
04015,8,Normal,6,0.524
04015,8,Normal,7,0.66
04015,8,Normal,8,0.508
04015,8,Normal,9,0.88
04015,8,Normal,10,1.18
04015,8,Normal,11,0.52
04015,8,Normal,12,0.744
04015,8,Normal,13,0.52
04015,8,Normal,14,0.876
04015,8,Normal,15,1.172
04015,8,Normal,16,0.836
04015,8,Normal,17,0.504
04015,8,Normal,18,0.452
04015,8,Normal,19,0.72
04015,8,Normal,20,0.968
04015,8,Normal,21,0.544
04015,8,Normal,22,0.676
04015,8,Normal,23,0.512
04015,8,Normal,24,0.876
04015,8,Normal,25,1.204
04015,8,Normal,26,0.516
04015,8,Normal,27,0.776
04015,8,Normal,28,0.528
04015,8,Normal,29,0.544
04015,9,Normal,0,0.968
04015,9,Normal,1,0.556
04015,9,Normal,2,0.528
04015,9,Normal,3,0.58
04015,9,Normal,4,0.5
04015,9,Normal,5,0.428
04015,9,Normal,6,0.436
04015,9,Normal,7,0.604
04015,9,Normal,8,0.988
04015,9,Normal,9,0.564
04015,9,Normal,10,0.596
04015,9,Normal,11,0.972
04015,9,Normal,12,0.876
04015,9,Normal,13,0.876
04015,9,Normal,14,0.868
04015,9,Normal,15,0.868
04015,9,Normal,16,0.848
04015,9,Normal,17,0.536
04015,9,Normal,18,0.548
04015,9,Normal,19,0.488
04015,9,Normal,20,0.408
04015,9,Normal,21,0.46
04015,9,Normal,22,0.564
04015,9,Normal,23,0.464
04015,9,Normal,24,0.356
04015,9,Normal,25,0.556
04015,9,Normal,26,0.432
04015,9,Normal,27,0.376
04015,9,Normal,28,0.44
04015,9,Normal,29,0.4
04015,10,Normal,0,0.472
04015,10,Normal,1,0.404
04015,10,Normal,2,0.424
04015,10,Normal,3,0.464
04015,10,Normal,4,0.356
04015,10,Normal,5,0.432
04015,10,Normal,6,0.976
04015,10,Normal,7,0.964
04015,10,Normal,8,0.524
04015,10,Normal,9,0.58
04015,10,Normal,10,0.496
04015,10,Normal,11,1.096
04015,10,Normal,12,0.904
04015,10,Normal,13,0.52
04015,10,Normal,14,0.58
04015,10,Normal,15,1.056
04015,10,Normal,16,0.512
04015,10,Normal,17,0.84
04015,10,Normal,18,0.548
04015,10,Normal,19,0.64
04015,10,Normal,20,0.94
04015,10,Normal,21,0.528
04015,10,Normal,22,0.54
04015,10,Normal,23,0.516
04015,10,Normal,24,0.428
04015,10,Normal,25,0.34
04015,10,Normal,26,0.432
04015,10,Normal,27,0.416
04015,10,Normal,28,0.444
04015,10,Normal,29,0.504
04015,11,Normal,0,0.404
04015,11,Normal,1,0.312
04015,11,Normal,2,0.416
04015,11,Normal,3,0.428
04015,11,Normal,4,0.48
04015,11,Normal,5,1.368
04015,11,Normal,6,0.872
04015,11,Normal,7,0.508
04015,11,Normal,8,0.616
04015,11,Normal,9,0.94
04015,11,Normal,10,1.16
04015,11,Normal,11,0.948
04015,11,Normal,12,1.208
04015,11,Normal,13,0.928
04015,11,Normal,14,1.152
04015,11,Normal,15,0.924
04015,11,Normal,16,0.836
04015,11,Normal,17,0.516
04015,11,Normal,18,0.62
04015,11,Normal,19,0.928
04015,11,Normal,20,0.548
04015,11,Normal,21,0.648
04015,11,Normal,22,0.924
04015,11,Normal,23,0.524
04015,11,Normal,24,0.772
04015,11,Normal,25,0.532
04015,11,Normal,26,0.764
04015,11,Normal,27,0.544
04015,11,Normal,28,0.832
04015,11,Normal,29,0.54
04015,12,Normal,0,0.56
04015,12,Normal,1,0.468
04015,12,Normal,2,0.32
04015,12,Normal,3,0.236
04015,12,Normal,4,0.692
04015,12,Normal,5,0.964
04015,12,Normal,6,0.536
04015,12,Normal,7,1.184
04015,12,Normal,8,0.544
04015,12,Normal,9,0.56
04015,12,Normal,10,0.952
04015,12,Normal,11,1.152
04015,12,Normal,12,0.968
04015,12,Normal,13,0.552
04015,12,Normal,14,0.612
04015,12,Normal,15,0.952
04015,12,Normal,16,0.552
04015,12,Normal,17,0.616
04015,12,Normal,18,0.936
04015,12,Normal,19,0.552
04015,12,Normal,20,0.604
04015,12,Normal,21,0.936
04015,12,Normal,22,0.556
04015,12,Normal,23,0.616
04015,12,Normal,24,0.94
04015,12,Normal,25,0.836
04015,12,Normal,26,0.836
04015,12,Normal,27,0.82
04015,12,Normal,28,0.532
04015,12,Normal,29,0.576
04015,13,Normal,0,0.56
04015,13,Normal,1,0.596
04015,13,Normal,2,0.48
04015,13,Normal,3,0.32
04015,13,Normal,4,0.784
04015,13,Normal,5,0.908
04015,13,Normal,6,0.804
04015,13,Normal,7,0.804
04015,13,Normal,8,0.796
04015,13,Normal,9,0.816
04015,13,Normal,10,0.808
04015,13,Normal,11,0.792
04015,13,Normal,12,0.776
04015,13,Normal,13,0.808
04015,13,Normal,14,0.796
04015,13,Normal,15,0.788
04015,13,Normal,16,0.524
04015,13,Normal,17,0.712
04015,13,Normal,18,0.528
04015,13,Normal,19,0.736
04015,13,Normal,20,0.836
04015,13,Normal,21,0.816
04015,13,Normal,22,0.808
04015,13,Normal,23,0.796
04015,13,Normal,24,0.788
04015,13,Normal,25,0.792
04015,13,Normal,26,0.792
04015,13,Normal,27,0.788
04015,13,Normal,28,0.52
04015,13,Normal,29,0.736
04015,14,Normal,0,0.772
04015,14,Normal,1,0.848
04015,14,Normal,2,0.768
04015,14,Normal,3,0.56
04015,14,Normal,4,0.792
04015,14,Normal,5,0.532
04015,14,Normal,6,0.62
04015,14,Normal,7,0.92
04015,14,Normal,8,0.54
04015,14,Normal,9,0.58
04015,14,Normal,10,0.88
04015,14,Normal,11,0.868
04015,14,Normal,12,0.516
04015,14,Normal,13,0.544
04015,14,Normal,14,0.468
04015,14,Normal,15,0.412
04015,14,Normal,16,0.428
04015,14,Normal,17,0.444
04015,14,Normal,18,0.428
04015,14,Normal,19,0.348
04015,14,Normal,20,0.508
04015,14,Normal,21,0.532
04015,14,Normal,22,0.368
04015,14,Normal,23,0.332
04015,14,Normal,24,0.408
04015,14,Normal,25,0.448
04015,14,Normal,26,0.496
04015,14,Normal,27,0.452
04015,14,Normal,28,0.364
04015,14,Normal,29,0.308
04015,15,Normal,0,0.86
04015,15,Normal,1,0.528
04015,15,Normal,2,0.816
04015,15,Normal,3,0.576
04015,15,Normal,4,0.584
04015,15,Normal,5,0.852
04015,15,Normal,6,0.532
04015,15,Normal,7,0.672
04015,15,Normal,8,0.508
04015,15,Normal,9,0.66
04015,15,Normal,10,0.92
04015,15,Normal,11,0.548
04015,15,Normal,12,0.664
04015,15,Normal,13,0.908
04015,15,Normal,14,0.54
04015,15,Normal,15,0.596
04015,15,Normal,16,0.92
04015,15,Normal,17,0.556
04015,15,Normal,18,0.688
04015,15,Normal,19,0.9
04015,15,Normal,20,0.544
04015,15,Normal,21,0.624
04015,15,Normal,22,0.496
04015,15,Normal,23,0.752
04015,15,Normal,24,1.232
04015,15,Normal,25,0.508
04015,15,Normal,26,0.776
04015,15,Normal,27,0.524
04015,15,Normal,28,0.852
04015,15,Normal,29,1.152
04015,16,Normal,0,0.48
04015,16,Normal,1,0.448
04015,16,Normal,2,0.532
04015,16,Normal,3,0.576
04015,16,Normal,4,0.432
04015,16,Normal,5,0.504
04015,16,Normal,6,0.976
04015,16,Normal,7,0.564
04015,16,Normal,8,0.768
04015,16,Normal,9,0.948
04015,16,Normal,10,0.536
04015,16,Normal,11,0.664
04015,16,Normal,12,0.96
04015,16,Normal,13,0.54
04015,16,Normal,14,0.552
04015,16,Normal,15,0.92
04015,16,Normal,16,0.548
04015,16,Normal,17,0.552
04015,16,Normal,18,0.476
04015,16,Normal,19,0.428
04015,16,Normal,20,0.756
04015,16,Normal,21,0.98
04015,16,Normal,22,0.552
04015,16,Normal,23,0.78
04015,16,Normal,24,0.948
04015,16,Normal,25,0.54
04015,16,Normal,26,0.76
04015,16,Normal,27,0.956
04015,16,Normal,28,0.544
04015,16,Normal,29,0.612
04015,17,Normal,0,0.94
04015,17,Normal,1,0.552
04015,17,Normal,2,0.66
04015,17,Normal,3,0.932
04015,17,Normal,4,0.544
04015,17,Normal,5,0.672
04015,17,Normal,6,0.932
04015,17,Normal,7,0.832
04015,17,Normal,8,0.528
04015,17,Normal,9,0.636
04015,17,Normal,10,0.924
04015,17,Normal,11,0.552
04015,17,Normal,12,0.532
04015,17,Normal,13,1.216
04015,17,Normal,14,0.96
04015,17,Normal,15,0.544
04015,17,Normal,16,0.76
04015,17,Normal,17,0.948
04015,17,Normal,18,0.556
04015,17,Normal,19,0.872
04015,17,Normal,20,1.108
04015,17,Normal,21,0.944
04015,17,Normal,22,0.56
04015,17,Normal,23,0.552
04015,17,Normal,24,0.544
04015,17,Normal,25,0.44
04015,17,Normal,26,0.352
04015,17,Normal,27,0.368
04015,17,Normal,28,0.832
04015,17,Normal,29,0.984
04015,18,Normal,0,0.872
04015,18,Normal,1,0.792
04015,18,Normal,2,0.792
04015,18,Normal,3,0.812
04015,18,Normal,4,0.784
04015,18,Normal,5,0.784
04015,18,Normal,6,0.8
04015,18,Normal,7,0.792
04015,18,Normal,8,0.784
04015,18,Normal,9,0.796
04015,18,Normal,10,0.784
04015,18,Normal,11,0.82
04015,18,Normal,12,0.796
04015,18,Normal,13,0.788
04015,18,Normal,14,0.492
04015,18,Normal,15,0.652
04015,18,Normal,16,0.54
04015,18,Normal,17,0.7
04015,18,Normal,18,0.56
04015,18,Normal,19,0.668
04015,18,Normal,20,0.54
04015,18,Normal,21,0.788
04015,18,Normal,22,0.572
04015,18,Normal,23,0.74
04015,18,Normal,24,0.848
04015,18,Normal,25,0.796
04015,18,Normal,26,0.784
04015,18,Normal,27,0.8
04015,18,Normal,28,0.796
04015,18,Normal,29,0.78
04015,19,Normal,0,0.408
04015,19,Normal,1,0.384
04015,19,Normal,2,0.32
04015,19,Normal,3,0.488
04015,19,Normal,4,0.48
04015,19,Normal,5,0.5
04015,19,Normal,6,0.488
04015,19,Normal,7,0.484
04015,19,Normal,8,0.48
04015,19,Normal,9,0.484
04015,19,Normal,10,0.484
04015,19,Normal,11,0.484
04015,19,Normal,12,0.468
04015,19,Normal,13,0.476
04015,19,Normal,14,0.408
04015,19,Normal,15,0.528
04015,19,Normal,16,0.524
04015,19,Normal,17,0.456
04015,19,Normal,18,0.46
04015,19,Normal,19,0.364
04015,19,Normal,20,0.336
04015,19,Normal,21,0.404
04015,19,Normal,22,0.34
04015,19,Normal,23,0.472
04015,19,Normal,24,0.444
04015,19,Normal,25,0.368
04015,19,Normal,26,0.344
04015,19,Normal,27,0.592
04015,19,Normal,28,0.988
04015,19,Normal,29,0.868
04015,20,AF,0,0.46
04015,20,AF,1,0.516
04015,20,AF,2,0.432
04015,20,AF,3,0.46
04015,20,AF,4,0.416
04015,20,AF,5,0.492
04015,20,AF,6,0.544
04015,20,AF,7,0.456
04015,20,AF,8,0.32
04015,20,AF,9,0.316
04015,20,AF,10,0.428
04015,20,AF,11,0.536
04015,20,AF,12,0.5
04015,20,AF,13,0.38
04015,20,AF,14,0.372
04015,20,AF,15,0.472
04015,20,AF,16,0.44
04015,20,AF,17,0.3
04015,20,AF,18,0.384
04015,20,AF,19,0.448
04015,20,AF,20,0.424
04015,20,AF,21,0.352
04015,20,AF,22,0.42
04015,20,AF,23,0.396
04015,20,AF,24,0.38
04015,20,AF,25,0.416
04015,20,AF,26,0.388
04015,20,AF,27,0.376
04015,20,AF,28,0.348
04015,20,AF,29,0.328
04015,21,AF,0,0.344
04015,21,AF,1,0.404
04015,21,AF,2,0.392
04015,21,AF,3,0.324
04015,21,AF,4,0.428
04015,21,AF,5,0.672
04015,21,AF,6,0.5
04015,21,AF,7,0.332
04015,21,AF,8,0.324
04015,21,AF,9,0.456
04015,21,AF,10,0.416
04015,21,AF,11,0.312
04015,21,AF,12,0.36
04015,21,AF,13,0.328
04015,21,AF,14,0.312
04015,21,AF,15,0.324
04015,21,AF,16,0.464
04015,21,AF,17,0.4
04015,21,AF,18,0.56
04015,21,AF,19,0.436
04015,21,AF,20,0.32
04015,21,AF,21,0.42
04015,21,AF,22,0.696
04015,21,AF,23,0.484
04015,21,AF,24,0.348
04015,21,AF,25,0.348
04015,21,AF,26,0.524
04015,21,AF,27,0.424
04015,21,AF,28,0.476
04015,21,AF,29,0.404
04015,22,AF,0,0.552
04015,22,AF,1,0.492
04015,22,AF,2,0.416
04015,22,AF,3,0.396
04015,22,AF,4,0.436
04015,22,AF,5,0.532
04015,22,AF,6,0.568
04015,22,AF,7,0.424
04015,22,AF,8,0.296
04015,22,AF,9,0.384
04015,22,AF,10,0.328
04015,22,AF,11,0.364
04015,22,AF,12,0.388
04015,22,AF,13,0.36
04015,22,AF,14,0.296
04015,22,AF,15,0.34
04015,22,AF,16,0.376
04015,22,AF,17,0.364
04015,22,AF,18,0.372
04015,22,AF,19,0.492
04015,22,AF,20,0.428
04015,22,AF,21,0.572
04015,22,AF,22,0.448
04015,22,AF,23,0.632
04015,22,AF,24,0.472
04015,22,AF,25,0.464
04015,22,AF,26,0.42
04015,22,AF,27,0.392
04015,22,AF,28,0.4
04015,22,AF,29,0.484
04015,23,AF,0,0.428
04015,23,AF,1,0.316
04015,23,AF,2,0.652
04015,23,AF,3,0.508
04015,23,AF,4,0.356
04015,23,AF,5,0.44
04015,23,AF,6,0.5
04015,23,AF,7,0.384
04015,23,AF,8,0.52
04015,23,AF,9,0.448
04015,23,AF,10,0.372
04015,23,AF,11,0.492
04015,23,AF,12,0.424
04015,23,AF,13,0.572
04015,23,AF,14,0.524
04015,23,AF,15,0.364
04015,23,AF,16,0.428
04015,23,AF,17,0.392
04015,23,AF,18,0.288
04015,23,AF,19,0.628
04015,23,AF,20,0.504
04015,23,AF,21,0.528
04015,23,AF,22,0.504
04015,23,AF,23,0.528
04015,23,AF,24,0.472
04015,23,AF,25,0.348
04015,23,AF,26,0.448
04015,23,AF,27,0.524
04015,23,AF,28,0.404
04015,23,AF,29,0.476
04015,24,AF,0,0.356
04015,24,AF,1,0.376
04015,24,AF,2,0.46
04015,24,AF,3,0.56
04015,24,AF,4,0.392
04015,24,AF,5,0.304
04015,24,AF,6,0.38
04015,24,AF,7,0.488
04015,24,AF,8,0.452
04015,24,AF,9,0.556
04015,24,AF,10,0.396
04015,24,AF,11,0.368
04015,24,AF,12,0.704
04015,24,AF,13,0.68
04015,24,AF,14,0.684
04015,24,AF,15,0.86
04015,24,AF,16,0.468
04015,24,AF,17,0.444
04015,24,AF,18,0.452
04015,24,AF,19,0.316
04015,24,AF,20,0.328
04015,24,AF,21,0.436
04015,24,AF,22,0.452
04015,24,AF,23,0.384
04015,24,AF,24,0.312
04015,24,AF,25,0.608
04015,24,AF,26,0.564
04015,24,AF,27,0.428
04015,24,AF,28,0.528
04015,24,AF,29,0.396
04015,25,Normal,0,0.512
04015,25,Normal,1,0.844
04015,25,Normal,2,0.54
04015,25,Normal,3,0.588
04015,25,Normal,4,0.468
04015,25,Normal,5,0.6
04015,25,Normal,6,0.504
04015,25,Normal,7,0.752
04015,25,Normal,8,0.488
04015,25,Normal,9,0.588
04015,25,Normal,10,0.932
04015,25,Normal,11,0.548
04015,25,Normal,12,0.624
04015,25,Normal,13,0.476
04015,25,Normal,14,0.704
04015,25,Normal,15,0.524
04015,25,Normal,16,0.632
04015,25,Normal,17,0.476
04015,25,Normal,18,0.888
04015,25,Normal,19,0.508
04015,25,Normal,20,0.756
04015,25,Normal,21,0.904
04015,25,Normal,22,0.552
04015,25,Normal,23,0.832
04015,25,Normal,24,0.552
04015,25,Normal,25,0.62
04015,25,Normal,26,0.476
04015,25,Normal,27,0.876
04015,25,Normal,28,0.56
04015,25,Normal,29,0.612
04015,26,Normal,0,0.472
04015,26,Normal,1,0.628
04015,26,Normal,2,0.516
04015,26,Normal,3,0.728
04015,26,Normal,4,0.532
04015,26,Normal,5,0.656
04015,26,Normal,6,0.484
04015,26,Normal,7,0.728
04015,26,Normal,8,0.532
04015,26,Normal,9,0.832
04015,26,Normal,10,0.548
04015,26,Normal,11,0.592
04015,26,Normal,12,0.516
04015,26,Normal,13,0.736
04015,26,Normal,14,0.536
04015,26,Normal,15,0.636
04015,26,Normal,16,0.476
04015,26,Normal,17,0.676
04015,26,Normal,18,0.488
04015,26,Normal,19,0.732
04015,26,Normal,20,0.54
04015,26,Normal,21,0.628
04015,26,Normal,22,0.516
04015,26,Normal,23,0.864
04015,26,Normal,24,0.884
04015,26,Normal,25,0.788
04015,26,Normal,26,0.548
04015,26,Normal,27,0.604
04015,26,Normal,28,0.48
04015,26,Normal,29,0.712
04015,27,AF,0,0.512
04015,27,AF,1,0.784
04015,27,AF,2,0.56
04015,27,AF,3,0.656
04015,27,AF,4,0.572
04015,27,AF,5,0.492
04015,27,AF,6,0.42
04015,27,AF,7,0.312
04015,27,AF,8,0.332
04015,27,AF,9,0.46
04015,27,AF,10,0.584
04015,27,AF,11,0.424
04015,27,AF,12,0.568
04015,27,AF,13,0.536
04015,27,AF,14,0.424
04015,27,AF,15,0.504
04015,27,AF,16,0.464
04015,27,AF,17,0.36
04015,27,AF,18,0.616
04015,27,AF,19,0.472
04015,27,AF,20,0.46
04015,27,AF,21,0.484
04015,27,AF,22,0.432
04015,27,AF,23,0.408
04015,27,AF,24,0.304
04015,27,AF,25,0.316
04015,27,AF,26,0.532
04015,27,AF,27,0.428
04015,27,AF,28,0.284
04015,27,AF,29,0.604
04015,28,AF,0,0.556
04015,28,AF,1,0.656
04015,28,AF,2,0.952
04015,28,AF,3,0.512
04015,28,AF,4,0.576
04015,28,AF,5,0.62
04015,28,AF,6,0.468
04015,28,AF,7,0.64
04015,28,AF,8,0.572
04015,28,AF,9,0.388
04015,28,AF,10,0.348
04015,28,AF,11,0.444
04015,28,AF,12,0.444
04015,28,AF,13,0.384
04015,28,AF,14,0.284
04015,28,AF,15,0.288
04015,28,AF,16,0.436
04015,28,AF,17,0.376
04015,28,AF,18,0.28
04015,28,AF,19,0.444
04015,28,AF,20,0.396
04015,28,AF,21,0.408
04015,28,AF,22,0.348
04015,28,AF,23,0.568
04015,28,AF,24,0.48
04015,28,AF,25,0.268
04015,28,AF,26,0.42
04015,28,AF,27,0.356
04015,28,AF,28,0.448
04015,28,AF,29,0.56
04015,29,AF,0,0.38
04015,29,AF,1,0.472
04015,29,AF,2,0.392
04015,29,AF,3,0.408
04015,29,AF,4,0.464
04015,29,AF,5,0.44
04015,29,AF,6,0.576
04015,29,AF,7,0.456
04015,29,AF,8,0.452
04015,29,AF,9,0.392
04015,29,AF,10,0.428
04015,29,AF,11,0.408
04015,29,AF,12,0.568
04015,29,AF,13,0.472
04015,29,AF,14,0.424
04015,29,AF,15,0.632
04015,29,AF,16,0.476
04015,29,AF,17,0.496
04015,29,AF,18,0.384
04015,29,AF,19,0.388
04015,29,AF,20,0.356
04015,29,AF,21,0.404
04015,29,AF,22,0.372
04015,29,AF,23,0.484
04015,29,AF,24,0.5
04015,29,AF,25,0.332
04015,29,AF,26,0.572
04015,29,AF,27,0.564
04015,29,AF,28,0.452
04015,29,AF,29,0.412
04015,30,AF,0,0.496
04015,30,AF,1,0.576
04015,30,AF,2,0.448
04015,30,AF,3,0.468
04015,30,AF,4,0.412
04015,30,AF,5,0.312
04015,30,AF,6,0.36
04015,30,AF,7,0.36
04015,30,AF,8,0.52
04015,30,AF,9,0.42
04015,30,AF,10,0.292
04015,30,AF,11,0.556
04015,30,AF,12,0.608
04015,30,AF,13,0.504
04015,30,AF,14,0.44
04015,30,AF,15,0.388
04015,30,AF,16,0.456
04015,30,AF,17,0.388
04015,30,AF,18,0.508
04015,30,AF,19,0.588
04015,30,AF,20,0.368
04015,30,AF,21,0.332
04015,30,AF,22,0.492
04015,30,AF,23,0.424
04015,30,AF,24,0.924
04015,30,AF,25,0.972
04015,30,AF,26,0.54
04015,30,AF,27,0.644
04015,30,AF,28,0.608
04015,30,AF,29,0.952
04015,31,AF,0,0.384
04015,31,AF,1,0.452
04015,31,AF,2,0.368
04015,31,AF,3,0.316
04015,31,AF,4,0.484
04015,31,AF,5,0.448
04015,31,AF,6,0.316
04015,31,AF,7,0.464
04015,31,AF,8,0.452
04015,31,AF,9,0.68
04015,31,AF,10,0.46
04015,31,AF,11,0.576
04015,31,AF,12,0.448
04015,31,AF,13,0.5
04015,31,AF,14,0.524
04015,31,AF,15,0.376
04015,31,AF,16,0.504
04015,31,AF,17,0.412
04015,31,AF,18,0.348
04015,31,AF,19,0.42
